epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,1.3581356988037458,0.40913107511045654,0.4807692307692308,0.4858313965536131,0.49112763939169807,0.6913329616558718,0.5047130400326729,0.4835534219506411,0.4816686079774772
2,raw,1.1173519177886277,0.5926362297496318,0.592032967032967,0.520219669816444,0.5608556653919557,0.6785715853553623,0.6094719377659172,0.5525356535638793,0.5868528849207385
3,raw,1.0445608497192653,0.6477172312223859,0.6002747252747253,0.5869697075168516,0.6020767436941604,0.6349401146107594,0.5940147464234035,0.5929569655078948,0.5728500759363782
4,raw,0.9497301062006662,0.6751104565537556,0.5796703296703297,0.5823048337651562,0.5951416415489241,0.6050557461976596,0.6291933408650213,0.5811193069224843,0.609024815991766
5,raw,0.8804547565850663,0.6907216494845361,0.5233516483516484,0.5330175930211204,0.5289118941277373,0.6010118848816901,0.6207417795436656,0.528667917919858,0.6007080500476093
6,raw,0.8066130666213113,0.727540500736377,0.6085164835164835,0.534280557091901,0.5741940001977128,0.7674156520291805,0.6193116807308808,0.5676867239829632,0.5937311589965748
7,raw,0.7305794366153947,0.7681885125184095,0.6071428571428571,0.5870146874306316,0.6070769071103821,0.6210559090784274,0.6394654407536056,0.5960723638011332,0.618763577117658
8,raw,0.6084942489379636,0.8082474226804124,0.592032967032967,0.5872990729006871,0.603866236478122,0.6069573029513716,0.6300714874092989,0.5894293252602131,0.6098395773109198
9,raw,0.5300335690357197,0.8459499263622975,0.5989010989010989,0.5769761190194661,0.5979473833711137,0.6545882279180939,0.626616978081483,0.5868423599662009,0.6047973704842132
10,raw,0.437373648289816,0.8815905743740795,0.6002747252747253,0.5883279795533986,0.6056083705851074,0.6177015366617354,0.6224779330376201,0.5937040151279955,0.6018878818155623
11,raw,0.3865494222546186,0.904860088365243,0.6043956043956044,0.5854191597507028,0.6061747512609893,0.6356060073300326,0.6147927851246332,0.5939585598409085,0.5936059182136321
12,raw,0.35034601481656086,0.9095729013254786,0.614010989010989,0.5719666584352513,0.6003233810807796,0.6478672798346872,0.6282542132849827,0.5908866071943333,0.6066586372904931
13,raw,0.2938331905318992,0.9346097201767305,0.6057692307692307,0.5868773484365511,0.6084830255482102,0.6125302878547471,0.6219175746849188,0.595378695486257,0.6014998984230939
14,raw,0.2749361558936657,0.9460972017673048,0.5906593406593407,0.5779704945038359,0.5966427476503418,0.6391597581905144,0.6056358166781081,0.5836804752738131,0.584330491405091
15,raw,0.2435392396088377,0.9543446244477173,0.6098901098901099,0.5635905058655791,0.5924912147392462,0.6277328304979044,0.6209453476121413,0.584425327676618,0.6000209199288777
